rundate,this_period,last_period,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
15/04/05 14:21,2004,2003,Other UK Airports,BIRMINGHAM,GLASGOW,345123,344736,387,361351,361000,351,-4.490924358
15/04/05 14:21,2004,2003,Other UK Airports,BIRMINGHAM,GUERNSEY,52576,52576,0,48177,48177,0,9.130912781
15/04/05 14:21,2004,2003,Other UK Airports,BIRMINGHAM,INVERNESS,12652,12652,0,1564,1564,0,708.951416
15/04/05 14:21,2004,2003,Other UK Airports,BIRMINGHAM,ISLE OF MAN,60895,60895,0,71287,71287,0,-14.57769299
15/04/05 14:21,2004,2003,Other UK Airports,BIRMINGHAM,JERSEY,60329,56891,3438,96913,89141,7772,-37.74932098
15/04/05 14:21,2004,2003,Other UK Airports,BIRMINGHAM,KINLOSS,220,0,220,218,0,218,0.917431176
15/04/05 14:21,2004,2003,Other UK Airports,BIRMINGHAM,MANCHESTER,0,0,0,1232,0,1232,
15/04/05 14:21,2004,2003,Other UK Airports,BIRMINGHAM,NEWCASTLE,24348,24348,0,27159,27159,0,-10.3501606
15/04/05 14:21,2004,2003,Other UK Airports,BLACKPOOL,BOURNEMOUTH,296,0,296,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,BLACKPOOL,CARDIFF WALES,716,0,716,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,BLACKPOOL,GLASGOW,3,0,3,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,BLACKPOOL,ISLE OF MAN,18803,18803,0,11006,11006,0,70.8431778
15/04/05 14:21,2004,2003,Other UK Airports,BLACKPOOL,JERSEY,703,0,703,2026,0,2026,-65.30108643
15/04/05 14:21,2004,2003,Other UK Airports,BLACKPOOL,SOUTHAMPTON,0,0,0,66,0,66,
15/04/05 14:21,2004,2003,Other UK Airports,BOURNEMOUTH,EDINBURGH,0,0,0,60,0,60,
15/04/05 14:21,2004,2003,Other UK Airports,BOURNEMOUTH,GUERNSEY,11288,11288,0,2198,2198,0,413.5577698
15/04/05 14:21,2004,2003,Other UK Airports,BOURNEMOUTH,ISLES OF SCILLY (ST.MARYS),0,0,0,526,526,0,
15/04/05 14:21,2004,2003,Other UK Airports,BOURNEMOUTH,JERSEY,14485,12038,2447,10097,5128,4969,43.45845413
15/04/05 14:21,2004,2003,Other UK Airports,BOURNEMOUTH,LEEDS BRADFORD,0,0,0,24,0,24,
15/04/05 14:21,2004,2003,Other UK Airports,BOURNEMOUTH,LIVERPOOL,227,0,227,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,BOURNEMOUTH,PLOCKTON,352,0,352,865,0,865,-59.30635834
