"apt1_apt_name","apt2_apt_name","total_pax_tp","grp_name","apt1_id","apt2_id"
"115","BELFAST CITY (GEORGE BEST)","CARDIFF WALES",3.8389,"Other Reporting Airports",10,20
"116","BELFAST CITY (GEORGE BEST)","DUNDEE",0,"Other Reporting Airports",10,23
"117","BELFAST CITY (GEORGE BEST)","EAST MIDLANDS INTERNATIONAL",12.5883,"Other Reporting Airports",10,25
"118","BELFAST CITY (GEORGE BEST)","EDINBURGH",12.8092,"Other Reporting Airports",10,27
"119","BELFAST CITY (GEORGE BEST)","EXETER",1.1998,"Other Reporting Airports",10,28
"120","BELFAST CITY (GEORGE BEST)","GLASGOW",11.928,"Other Reporting Airports",10,33
"121","BELFAST CITY (GEORGE BEST)","GLOUCESTERSHIRE",0,"Other Reporting Airports",10,34
"122","BELFAST CITY (GEORGE BEST)","INVERNESS",2.3253,"Other Reporting Airports",10,38
"123","BELFAST CITY (GEORGE BEST)","ISLE OF MAN",2.2294,"Other Reporting Airports",10,39
"124","BELFAST CITY (GEORGE BEST)","JERSEY",0.1241,"Other Reporting Airports",10,41
"125","BELFAST CITY (GEORGE BEST)","LEEDS BRADFORD",13.0904,"Other Reporting Airports",10,44
"126","BELFAST CITY (GEORGE BEST)","MANCHESTER",28.0173,"Other Reporting Airports",10,47
"127","BELFAST CITY (GEORGE BEST)","NEWCASTLE",4.17,"Other Reporting Airports",10,49
"128","BELFAST CITY (GEORGE BEST)","NEWQUAY",0.2187,"Other Reporting Airports",10,50
"129","BELFAST CITY (GEORGE BEST)","SOUTHAMPTON",8.5603,"Other Reporting Airports",10,54
"130","BELFAST INTERNATIONAL","BIRMINGHAM",15.8591,"Other Reporting Airports",11,14
"131","BELFAST INTERNATIONAL","BLACKPOOL",1.1849,"Other Reporting Airports",11,15
"132","BELFAST INTERNATIONAL","BRISTOL",22.6217,"Other Reporting Airports",11,17
"133","BELFAST INTERNATIONAL","CARDIFF WALES",0,"Other Reporting Airports",11,20
"134","BELFAST INTERNATIONAL","DONCASTER SHEFFIELD",0.0094,"Other Reporting Airports",11,22
"135","BELFAST INTERNATIONAL","EAST MIDLANDS INTERNATIONAL",0.0421,"Other Reporting Airports",11,25
"136","BELFAST INTERNATIONAL","EDINBURGH",24.4726,"Other Reporting Airports",11,27
"137","BELFAST INTERNATIONAL","FARNBOROUGH",0,"Other Reporting Airports",11,30
"138","BELFAST INTERNATIONAL","GLASGOW",25.0844,"Other Reporting Airports",11,33
"139","BELFAST INTERNATIONAL","JERSEY",0.9193,"Other Reporting Airports",11,41
"140","BELFAST INTERNATIONAL","LEEDS BRADFORD",2.2466,"Other Reporting Airports",11,44
"141","BELFAST INTERNATIONAL","LIVERPOOL (JOHN LENNON)",41.3924,"Other Reporting Airports",11,46
"142","BELFAST INTERNATIONAL","MANCHESTER",18.9969,"Other Reporting Airports",11,47
"143","BELFAST INTERNATIONAL","NEWCASTLE",19.2513,"Other Reporting Airports",11,49
"144","BENBECULA","GLASGOW",2.1802,"Other Reporting Airports",12,33
"145","BENBECULA","INVERNESS",0.067,"Other Reporting Airports",12,38
"146","BENBECULA","STORNOWAY",0.7865,"Other Reporting Airports",12,55
"147","BIGGIN HILL","BLACKPOOL",0.0072,"Other Reporting Airports",13,15
"148","BIGGIN HILL","LIVERPOOL (JOHN LENNON)",0.008,"Other Reporting Airports",13,46
"149","BIGGIN HILL","NEWCASTLE",0.0074,"Other Reporting Airports",13,49
"150","BIRMINGHAM","CARDIFF WALES",0.0019,"Other Reporting Airports",14,20
"151","BIRMINGHAM","CITY OF DERRY (EGLINTON)",5.2322,"Other Reporting Airports",14,21
"152","BIRMINGHAM","DUNDEE",0,"Other Reporting Airports",14,23
"153","BIRMINGHAM","EDINBURGH",28.415,"Other Reporting Airports",14,27
"154","BIRMINGHAM","GLASGOW",20.3464,"Other Reporting Airports",14,33
"155","BIRMINGHAM","GUERNSEY",3.4409,"Other Reporting Airports",14,35
"156","BIRMINGHAM","INVERNESS",3.4813,"Other Reporting Airports",14,38
"157","BIRMINGHAM","ISLE OF MAN",4.1676,"Other Reporting Airports",14,39
"158","BIRMINGHAM","JERSEY",3.8685,"Other Reporting Airports",14,41
"159","BIRMINGHAM","NEWCASTLE",0.8015,"Other Reporting Airports",14,49
"160","BIRMINGHAM","SOUTHAMPTON",0.0059,"Other Reporting Airports",14,54
"161","BIRMINGHAM","STORNOWAY",0,"Other Reporting Airports",14,55
"162","BLACKPOOL","CARDIFF WALES",0.0124,"Other Reporting Airports",15,20
"163","BLACKPOOL","EAST MIDLANDS INTERNATIONAL",0.0029,"Other Reporting Airports",15,25
"164","BLACKPOOL","EDINBURGH",0,"Other Reporting Airports",15,27
"165","BLACKPOOL","INVERNESS",0,"Other Reporting Airports",15,38
"166","BLACKPOOL","ISLE OF MAN",1.9536,"Other Reporting Airports",15,39
"167","BLACKPOOL","JERSEY",0,"Other Reporting Airports",15,41
"168","BLACKPOOL","NORWICH",0,"Other Reporting Airports",15,51
"169","BLACKPOOL","SOUTH MARSTON",0.0062,"Other Reporting Airports",15,58
"170","BOURNEMOUTH","DURHAM TEES VALLEY",0.0064,"Other Reporting Airports",16,24
"171","BOURNEMOUTH","EDINBURGH",0.005,"Other Reporting Airports",16,27
"172","BOURNEMOUTH","JERSEY",0.0155,"Other Reporting Airports",16,41
"173","BOURNEMOUTH","LEEDS BRADFORD",0,"Other Reporting Airports",16,44
